2026-01-29 17:56:19,670 - IngestionAgent - INFO - IngestionAgent initialized
2026-01-29 17:56:19,672 - IngestionAgent - INFO - Starting event ingestion...
2026-01-29 17:56:19,908 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1867.80, category=A
2026-01-29 17:56:20,659 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2001.20, category=X
2026-01-29 17:56:20,788 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1922.32, category=C
2026-01-29 17:56:20,860 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1445.96, category=X
2026-01-29 17:56:20,893 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1917.71, category=A
2026-01-29 17:56:20,949 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2026.34, category=A
2026-01-29 17:56:20,968 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2127.82, category=A
2026-01-29 17:56:21,077 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1711.49, category=B
2026-01-29 17:56:21,146 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1204.86, category=A
2026-01-29 17:56:21,178 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1016.65, category=A
2026-01-29 17:56:21,228 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1132.52, category=A
2026-01-29 17:56:21,383 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1058.81, category=X
2026-01-29 17:56:21,610 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1621.23, category=A
2026-01-29 17:56:21,685 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1221.81, category=A
2026-01-29 17:56:21,953 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1880.55, category=C
2026-01-29 17:56:21,986 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1163.50, category=C
2026-01-29 17:56:22,378 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1994.92, category=A
2026-01-29 17:56:22,557 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1505.16, category=C
2026-01-29 17:56:22,616 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1881.65, category=C
2026-01-29 17:56:22,782 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1939.63, category=A
2026-01-29 17:56:22,939 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2341.71, category=A
2026-01-29 17:56:23,115 - IngestionAgent - INFO - Processed 100 events
2026-01-29 17:56:23,337 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2054.52, category=C
2026-01-29 17:56:23,487 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2404.71, category=C
2026-01-29 17:56:23,780 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1439.56, category=C
2026-01-29 17:56:23,794 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2272.84, category=C
2026-01-29 17:56:24,218 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1265.80, category=X
2026-01-29 17:56:24,344 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1170.87, category=C
2026-01-29 17:56:24,424 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2309.11, category=B
2026-01-29 17:56:24,626 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1332.66, category=X
2026-01-29 17:56:24,703 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1498.97, category=C
2026-01-29 17:56:24,851 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2369.88, category=A
2026-01-29 17:56:25,350 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1825.73, category=C
2026-01-29 17:56:25,419 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1230.45, category=B
2026-01-29 17:56:25,621 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2257.51, category=X
2026-01-29 17:56:25,723 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2201.28, category=X
2026-01-29 17:56:25,760 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1580.43, category=C
2026-01-29 17:56:26,088 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1962.75, category=C
2026-01-29 17:56:26,228 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2082.40, category=A
2026-01-29 17:56:26,348 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1321.81, category=A
2026-01-29 17:56:26,577 - IngestionAgent - INFO - Processed 200 events
2026-01-29 17:56:26,622 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1380.45, category=B
2026-01-29 17:56:26,733 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1966.91, category=A
2026-01-29 17:56:26,888 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1812.47, category=X
2026-01-29 17:56:26,969 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2065.44, category=A
2026-01-29 17:56:27,042 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1720.86, category=C
2026-01-29 17:56:27,073 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1391.53, category=B
2026-01-29 17:56:27,143 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2638.61, category=C
2026-01-29 17:56:27,168 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2472.29, category=X
2026-01-29 17:56:27,417 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2511.59, category=A
2026-01-29 17:56:27,506 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1511.69, category=X
2026-01-29 17:56:27,536 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2609.61, category=A
2026-01-29 17:56:27,618 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1579.81, category=C
2026-01-29 17:56:27,776 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1546.51, category=B
2026-01-29 17:56:27,887 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2408.17, category=C
2026-01-29 17:56:28,478 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1942.40, category=A
2026-01-29 17:56:28,925 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1570.70, category=X
2026-01-29 17:56:29,144 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1796.21, category=X
2026-01-29 17:56:29,186 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2964.73, category=X
2026-01-29 17:56:29,209 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=2257.45, category=A
2026-01-29 17:56:29,692 - IngestionAgent - WARNING - Injecting High-Risk Anomaly: value=1662.00, category=X
